Code,SMILES,Score,,,,,
D142,"c1ccc2c(c1)[nH]cc2[C@@]12c3c(cccc3)N[C@@H]1N1[C@]3([C@H]2O)C(=O)N([C@@](C1=O)(CO)SSS3)C	",-11.8,,,,D142,
D143,"c1ccc2c(c1)[nH]cc2[C@@]12c3c(cccc3)N[C@@H]1N1[C@]3([C@H]2O)C(=O)N([C@@](C1=O)(C)SS3)C	",-12.3,,,,D143,
D144,"c12nc3[C@](NC(=O)[C@@H](n3c(=O)c1C=CC=CO2)Cc1ccccc1)(C(C)C)OC	",-16.1,,,,D144,
D145,"c1(cc(cc2C(=O)c3cc(cc(c3C(=O)c12)O)C)OC)O	",-13.8,,,,D145,
D146,"N1C(=O)[C@@H](NC(=O)/C/1=C/c1c([nH]c2c1cccc2)C(C)(C=C)C)C	",-14.9,,,,D146,
D147,"C1=C[C@]2([C@H]3[C@]([C@@H]1O)(C1=CC(=O)OCC1=C[C@H]3OC2=O)C)C	",-13.8,,,,D147,
D148,"[C@@H]12[C@@H]([C@]3([C@H]4[C@]([C@@H]1O)(C1=CC(=O)OCC1=C[C@H]4OC3=O)C)C)O2	",-13.9,,,,D148,
D149,"C1=C[C@]2([C@@H]3[C@]([C@H]1O)(C(=O)O[C@@H]3C=C1C2=CC(=O)OC1)C)C	",-14,,,,D149,
D150,"O[C@H]1C=CC[C@@H]2C[C@]34SS[C@@]5(C[C@@H]6[C@@H](O)C=C[C@H](O)[C@H]6N5C3=O)C(=O)N4[C@H]12	",-14,,,,D150,
D151,"C(=O)(c1c(cc(cc1CCCCCCCCC)O)O)[O-]	",-13.1,,,,D151,
D152,"c1ccc2c3c1O[C@]14c5c(C(=O)[C@@H]6[C@H]1O6)c(ccc5O[C@]3([C@@H](CC2=O)O)O4)O	",-16.8,,,,D152,
D153,"c1ccc2c3c1O[C@]14c5c(C(=O)[C@@H]6[C@H]1O6)c(ccc5O[C@]3(C=CC2=O)O4)O	",-16.4,,,,D153,
D154,"O[C@H]1/C=C\[C@@H](OC)/C=C\CCC[C@H](C)OC(=O)/C=C/1	",-13,,,,D154,
D155,"O=C1/C=C\[C@@H](OC)/C=C\CCC[C@H](C)OC(=O)/C=C/1	",-13,,,,D155,
D156,"O[C@H]1/C=C\C=C\[C@@H](CCC[C@H](C)OC(=O)/C=C/1)O	",-12.1,,,,D156,
D157,"O[C@@H]1/C=C\C=C\[C@@H](CCC[C@H](C)OC(=O)/C=C/1)O	",-12.3,,,,D157,
D158,"[C@@H]12Oc3c(c[nH]c(=O)c3C(=O)[C@@H]1[C@@H]([C@H]1C[C@H](CC[C@@H]1[C@]2(C)O)C)/C=C/C)c1ccc(cc1)O	",-16.5,,,,D158,
D159,"C[C@]1([C@@H](C[C@H]2[C@@H]([C@H]1O)C(=O)c1c(C2=O)c(cc(c1)OC)O)O)O	",-13.8,,,,D159,
D160,"C[C@]1([C@@H]([C@H](C2=C([C@H]1O)C(=O)c1c(C2=O)c(cc(c1)OC)O)O)O)O	",-13.7,,,,D160,
D161,"C[C@@]1(CC2=C(C[C@H]1O)C(=O)c1c(C2=O)cc(cc1O)OC)O	",-13.1,,,,D161,
D162,"CC(=O)O[C@@H]1[C@H](C2=C([C@H]([C@]1(C)O)O)C(=O)c1c(C2=O)c(cc(c1)OC)O)O	",-14.5,,,,D162,
D163,"C[C@@]1([C@@H](C2=C(C(=O)c3c(cc(c(c4c(cc(c5c4C(=O)C4=C(C5=O)[C@@H]([C@H]([C@](C)([C@@H]4O)O)O)O)O)OC)c3C2=O)OC)O)[C@@H]([C@H]1O)O)O)O	",-11.7,,,,D163,
D164,"c1ccc2c(c1)C1=C(C2)[C@]2([C@H](C1)CC[C@@H]1[C@@]2(CC[C@H]2C1=C[C@H]([C@H](C2)C(C)(C)O)O)C)C	",-14.8,,,,D164,
D165,"CC[C@@H](C)C[C@H](/C=C(/C)\[C@@H]([C@H](C)/C=C(/C)\[C@@H]([C@H](C)/C=C/[C@@H]([C@H](C)/C=C(/C)\C=O)O)O)O)CO	",-15.9,,,,D165,
D166,"Cc1cc(=O)c2c(cc(c([C@@H]3C[C@H](C(=O)O3)OC)c2o1)OC)O	",-13.7,,,,D166,
D167,"c1c(oc2c(c1=O)c(cc(c2[C@H](OC)C[C@H](C(=O)OC)OC)OC)O)C	",-14.7,,,,D167,
D168,"c1c(oc2c(c1=O)c(cc(c2[C@@H](OC)C[C@H](C(=O)OC)OC)OC)O)C	",-14.3,,,,D168,
D169,"c1c(oc2c(c1=O)c(cc(c2[C@@H](OC)C[C@H](C(=O)O)OC)OC)O)C	",-14,,,,D169,
D170,"C(=O)(c1c(cc(cc1CCCCCCC[C@@H](C)O)O)O)OCC	",-13.4,,,,D170,
D171,"O1C(=O)[C@@H](N(C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@H]1C(C)C)C)Cc1ccccc1)C(C)C)C)Cc1ccccc1)C(C)C)C)Cc1ccccc1	",-13,,,,D171,
D172,"c1(ccc(cc1)CCO)OC[C@@H](O)C(C)(C)O	",-11.3,,,,D172,
D173,"C1C(=C[C@]2(C1)[C@@H]1[C@H](CC[C@@H]2C)[C@@H](C(=O)O1)C)CO	",-12.3,,,,D173,
D174,"C(=O)(CC[C@@]1([C@H](CCc2c(c(c(cc12)O)C)C=C)C(=C)C)C)OC	",-14,,,,D174,
D175,"O1C(=O)c2c([C@@H]1CCCCCCC)c(c(c(c2)O)O)O	",-13.1,,,,D175,
D176,"c1(c(c(cc(c1)O)O)C(=O)CCCCCCC)CC(=O)OC	",-13.7,,,,D176,
D177,"c1(c(c(cc(c1)O)O)C(=O)CCCCCCCC)CC(=O)OCC	",-14.4,,,,D177,
D178,"C1[C@@H](C[C@]2([C@](C1)([C@@H]1[C@@H](CC2=O)[C@H]2[C@](CC1)([C@H](CC2)[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C)O)O	",-15.5,,,,D178,
D179,"C1[C@@H](C[C@]2([C@](C1)([C@@H]1[C@@H](CC2=O)[C@]2([C@](CC1)([C@H](CC2)[C@@H](/C=C/[C@@H](C(C)C)C)C)C)O)C)O)O	",-15,,,,D179,
D180,"c1(cc(c2c(c1OC)C(=O)OC2)COC)C	",-10.9,,,,D180,
D181,"[C@@]12(C3=CC(=O)OC[C@H]3[C@@H]([C@H]3OC(=O)[C@@](CCC1)([C@@H]23)C)O)C	",-13.9,,,,D181,
D182,"C1C[C@]([C@H]2[C@](C1)([C@H](C(=C)[C@H](C2)O)CC(=O)O)C)(C)C(=O)O	",-13.3,,,,D182,
D183,"c12c(oc(=O)cc1)c(c1c(c2C)cco1)CC=C(C)C	",-14.1,,,,D183,
D184,"N12C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H]1CCC2)CO)C)[C@@H](C)CC)Cc1ccc(cc1)OCC=C(C)C)C)C)Cc1ccccc1	",-16.3,,,,D184,
D185,"N12C(=O)[C@H](OC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H]1CCC2)CO)C)C(C)C)Cc1ccc(cc1)OCC=C(C)C)C)C)Cc1ccccc1	",-15.2,,,,D185,
D186,"[C@@]123[C@H]([C@@]4(c5ccccc5N[C@@H]4N1C(=O)[C@](SS2)(N(C3=O)C)[C@H](C)O)[C@]12[C@@H]([C@]34N([C@H]2Nc2c1cccc2)C(=O)[C@](SS3)(N(C4=O)C)[C@H](C)O)O)O	",-12.3,,,,D186,
D187,"N(C(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H]1N(C(=O)[C@H](O)Cc2ccccc2)CCC1)CO)C)[C@H](CC)C)[C@H](C(=O)O)Cc1ccc(cc1)OCC=C(C)C	",-19,,,,D187,
D188,"C12=CC(=O)OC(C1=C[C@@H]1[C@]3([C@H]([C@H]2C)C[C@@]2([C@@H]4[C@]3([C@@]([C@@H](O[C@@H]4OC2=O)C)(O1)O)C(=O)OC)C)C)(C)C	",-13.7,,,,D188,
D189,"C12=C(C[C@@H]3[C@]4(C(=C1C)C[C@@]1([C@@H]5[C@]4([C@@]([C@@H](O[C@@H]5OC1=O)C)(O3)O)C(=O)OC)C)C)C(OC(=O)C2)(C)C	",-14.9,,,,D189,
D190,"C1(=O)[C@@](C(=O)C2=CN(C(=CC2=C1Cl)/C=C/C(=C/[C@H](CC)C)/C)CCCCN1C=C2C(=O)[C@@](C(=O)C(=C2C=C1/C=C/C(=C/[C@@H](CC)C)/C)Cl)(C)OC(=O)C)(C)OC(=O)C	",-17,,,,D190,
D191,"c1c(cc2c(c1C(=O)OC)c(=O)c1c(o2)cc(c(c1)O)C)O	",-14.4,,,,D191,
D192,"c1cc(c2c(c1O)C(=O)c1c(C2=O)cc(cc1)C)O	",-13.3,,,,D192,
D193,"C(=O)(C(C)C)OC[C@]1([C@H]2[C@@]3(C4=C([C@H]([C@@](CC4)(C)C=C)O)C(=O)[C@@H]2O)[C@@H](C[C@H]1OC(=O)C)C3)C	",-17.6,,,,D193,
D194,O1C(=C(C(=O)[C@]21C(=O)N[C@@]([C@@H]2O)(OC)C(=O)c1ccccc1)C)[C@H]([C@H](/C=C\CC)O)O,-16.6,,,,#N/A,
D195,"O1C(=O)/C=C\[C@](/C=C\[C@@H](/C(=C\CC[C@@H]([C@H]1C)C)/C)OC)(C)O	",-13.4,,,,D195,
D196,"[C@@H]12Cc3c4ccc(cc4[nH]c3[C@@H](N1C(=O)[C@@H]1CCCN1C2=O)C=C(C)C)OC	",-14.9,,,,D196,
D197,"C1[C@H]2[C@@](O[C@@]31c1ccccc1[C@@H]1[C@@H]3CC(C1=C)(C)C)(C(C)(C(=O)c1n2c(=O)c2c(cccc2)n1)C)O	",-13.1,,,,D197,
D198,"c1cccc(c1C(=O)O)N/C(=N/CC(C)(C)O)/C	",-11.5,,,,D198,
D199,"c1cccc(c1C(=O)O)N/C=N/c1occc1	",-12.3,,,,D199,
D200,"c1cccc(c1C(=O)O)/N=C(/C(=O)C)\C	",-10.9,,,,D200,
D201,"CC(=CCc1ccc2c(c1OC)C(=O)OCc1cc(C)cc(c1O2)O)C	",-15.5,,,,D201,
D202,"CC(C)C[C@@H](c1ccc2c(c1OC)C(=O)OCc1cc(C)cc(c1O2)O)O	",-15.7,,,,D202,
D203,"C[C@H]1C[C@@H]([C@@H]2[C@@](C)(C(=O)CCO)[C@@](C)(C=C[C@]2(C1)O)O)O	",-12.3,,,,D203,
D204,"c1(c(cc2c(c1O)C(=O)c1c(C2=O)cc(c(c1O)[C@H](CCCCC)O)O)OC)Cl	",-14.2,,,,D204,
D205,"C=C[C@H]1CC[C@@]2([C@@H]3CC[C@H](C(C)(C)C3=C(C(=O)C2=C1)O)O)O	",-13.7,,,,D205,
D206,"C=C[C@@]1(C)CC[C@]2(C(=C1)C(=O)C(=C1C(C)(C)CC[C@H]([C@]21C)O)O)O	",-13.4,,,,D206,
D207,"C=C[C@]1(C)C=C2C(=O)[C@@]3([C@]4(C(C)(C)CCC[C@]4(CO3)[C@]2([C@@H](C1)O)O)O)O	",-13,,,,D207,
D208,"C[C@H]1C/C=C/[C@H]2[C@H]3[C@@](C)([C@@H](C)[C@H]4[C@H](Cc5ccccc5)N=C([C@@]24C(=O)/C=C/C(=O)[C@@H](/C(=C/1)/C)OC(=O)C)O)O3	",-12.4,,,,D208,
D209,"[C@@]123OC(=O)CC/C=C(/C(=O)[C@H](C/C=C/[C@H]1[C@@H](C(=C)[C@H]([C@H]2[C@@H](NC3=O)Cc1ccccc1)C)O)C)\C	",-17.6,,,,D209,
D210,"C=C1CC[C@H]2[C@@](C)(CC[C@H]3C(C)(C)[C@H](CC[C@]23C)OC(=O)C)[C@@H]1Cc1c(cc(C)oc1=O)O	",-15.1,,,,D210,
D211,"C/C(=C/Cc1c(cc(C)oc1=O)O)/CC/C=C(/C)\CC[C@@H]1C(=C)CC[C@@H](C1(C)C)OC(=O)C	",-17.1,,,,D211,
D212,"c1(c(cc(cc1)Cc1c(cc(c(c1)C(CCCC(C)C)(C)C)O)CO)O)[C@@](CCCC(C)C)(C)O	",-16.7,,,,D212,
D213,"Br/C=C/C#CCCCCCC/C=C/C#CCCCCCCCC(=O)N[C@@H](CCl)N	",-14.2,,,,D213,
D214,"CC(=CCC/C(=C\COc1cc2[C@@H](C)N(c3ccc(cc3OCC=C(C)C)OC)C(=O)c2c(c1C)OC)/C)C	",-17.2,,,,D214,
D215,"CC(=CCC/C(=C\COc1cc2[C@H](C)N(c3ccc(cc3OCC=C(C)C)OC)C(=O)c2c(c1C)OC)/C)C	",-16.9,,,,D215,
D216,"c1ccc2c(c1)c(c(c(=O)[nH]2)OC)c1cc(ccc1)O	",-13.5,,,,D216,
D217,"C1(=O)[C@@]([C@@H]([C@@H]2C(=C1)C=C(OC2)/C=C/[C@@]([C@H]([C@H](CC)C)O)(O)C)O)(O)C	",-12.8,,,,D217,
D218,"C1(=O)[C@@]([C@@H]([C@@H]2C(=C1Cl)C=C(OC2)/C=C/[C@H]([C@@]([C@H]([C@@H](CC)C)O)(O)C)O)O)(O)C	",-13.7,,,,D218,
D219,"c1(ccc(o1)CO)C=O	",-6.9,,,,D219,
D220,"Cc1cc(c2c(c1)oc1C[C@H]3[C@H]4[C@@H](c1c2=O)c1c(c(=O)c2c(cc(C)cc2o1)O)[C@@]4(C(=O)OC)O[C@@]3(C(=O)OC)O)O	",-12.8,,,,D220,
D221,"c1c(cc2c(c1O)c(=O)c1c(o2)CC[C@H]1OC)C	",-12.1,,,,D221,
D222,"CCCCCC[C@@H](C)C(=O)C1=C([C@@]2([C@H](C)[C@@H]3c4c(cc(c(C)c4[C@H](C)[C@@H](C)O3)O)O2)N(C)C1=O)O	",-15.5,,,,D222,
D223,"CC(C)C[C@H]1[C@@H]2[C@H](C)C(=C[C@@H]3/C=C(/C)\CCCC(=O)C[C@H](C(=O)[C@@]23C(=N1)O)SC)C	",-13.1,,,,D223,
D224,CC[C@@H](C)[C@@H]1C(=O)N(C)[C@H]([C@H](c2ccccc2)O)/C(=N/c2ccccc2/C(=N/[C@H](C)/C(=N/1)/O)/O)/O,-15.3,,,,#N/A,
D225,"Cc1cc(c(C)c(c1)O[C@@H]1C(=O)C(=C(C(=O)[C@@]1(C)OC)O)C)O	",-14.3,,,,D225,
D226,"Cc1cc(c(C)c2c1C(=O)[C@]1(C(=O)C(=C(C(=O)[C@@]1(C)OC)O)C)O2)O	",-13.5,,,,D226,
D227,"CC(=CCc1c(C)cc(cc1Oc1cc(C)cc(c1)O)O)C	",-15,,,,D227,
D228,"CC(C)C(=O)Cc1c(C)cc(cc1Oc1cc(C)cc(c1)O)O	",-15,,,,D228,
D229,"C[C@H]1C[C@H]2[C@H](C)Oc3c(cnc(c3[C@@H]2[C@@H](C)[C@@H]1O)O)c1ccc(cc1)O	",-14.6,,,,D229,
D230,"c1(cc(c2c3c1[C@H](OC(=O)c3c(cc2C)O)C(=O)OC)O)O	",-13.8,,,,D230,
D231,"c1(cc(c2c3c1COC(=O)c3c(cc2C)O)O)O	",-12.2,,,,D231,
D232,"[C@@H]12[C@@H](C(=O)[C@@H](NC1=O)CC(=C)C)CCC2	",-11.3,,,,D232,
D233,"c1ccc2c(c1)c(cn2C)C(=O)N1CCN(CC1)c1c(cccc1)OC	",-14.6,,,,D233,
D234,"COC(=O)[C@H]1[C@@H](C=Cc2c1c(=O)c1c(cc(cc1o2)CO)O)O	",-13.4,,,,D234,
D235,"CC1(C)C[C@@H]2[C@H](C1)[C@@H]([C@@]1(C)CCC(=C21)C(=O)O)O	",-12.6,,,,D235,
D236,"C(=O)(C)O[C@@H]1[C@]23[C@@H]([C@@H]([C@H]([C@@H](/C=C(/C1)\C)O)O)[C@@H](O3)O)CC2(C)C	",-12.8,,,,D236,
D237,"C(=O)(C)O[C@@H]1[C@]23[C@@H]([C@@H]([C@H]([C@@H](/C=C(\C1)/C)O)OC)[C@@H](O3)O)CC2(C)C	",-13.4,,,,D237,
D238,C1CC([C@]2([C@]3(C1)[C@@H]1C(=C[C@@](CC1=O)(C)C=C)C(=O)[C@]2(O)OC3)O)(C)C,-12.9,,,,#N/A,
D239,"C1CC(C2=C(C(=O)C3=C[C@@](CC(=O)[C@@]3([C@]2(C1)C)O)(C)C=C)O)(C)C	",-13.8,,,,D239,
D240,"C1CC([C@]2([C@]3(C1)[C@@]1(C(=C[C@@](C[C@H]1O)(C)C=C)C(=O)[C@]2(O)OC3)O)O)(C)C	",-13.7,,,,#N/A,
D241,"COc1ccc2cc(c(=O)oc2c1OC)NC(=O)C1=NO[C@H]2[C@@H](C=C[C@H]([C@]2(C1)O)Cl)O	",-15.1,,,,D241,
D242,"c1(cc(c2c(c1)oc1c(c2=O)C[C@H]([C@@]1(O)C(=O)OC)SC[C@@H](C(=O)OC)O)O)C	",-14.5,,,,D242,
D243,"CC(C)Cc1c(=O)n(c(cn1)[C@H](C(C)C)O)O	",-11.5,,,,D243,
D244,"CC(C)Cc1cnc(CC(C)C)c(=O)n1O	",-11.2,,,,D244,
D245,"c1cc2[C@H](CCC(=O)c2c(c1)O)O	",-9.6,,,,D245,
D246,"Cc1cc(c2c(c1)oc1c(C[C@@H]([C@](CC(=O)OC)(C(=O)OC)O)S1)c2=O)O	",-13.9,,,,D246,
D247,"C1c2oc3c(c(=O)c2C(=O)C1)c(O)cc(c3)C	",-11.6,,,,D247,
D248,"C[C@@]1(Cc2c(C[C@H]1O)c(c1C(=O)C=C(C(=O)c1c2O)OC)O)O	",-13.4,,,,#N/A,
D249,"C1CC(=[NH2+])N[C@@H]1c1n(c(=O)c2c(n1)cccc2)c1c(C(=O)O)cccc1	",-16.2,,,,D249,
D250,c12c(cc(cc1oc1c(c2=O)[C@]2([C@H]3[C@@H]1c1c(C[C@@H]3[C@](O2)(C(=O)OC)O)oc2c(c1=O)c(cc(c2)C)O)C(=O)OC)C)O,-17.9,,,,D250,
D251,c12c(cc(cc1oc1c(c2=O)[C@]2([C@H]3[C@@H]1c1c(C[C@H]3[C@@](O2)(C(=O)OC)O)oc2c(c1=O)c(cc(c2)C)O)C(=O)OC)C)O,-18.5,,,,D251,
D252,c1ccc2c(c1C(=O)OC)c(=O)c1c(cc(cc1O)CO)o2,-13.6,,,,D252,
D253,c1(ccc2c(c1C(=O)OC)c(=O)c1c(cc(cc1O)C)o2)O,-13.5,,,,D253,
D254,c1ccc2c(c1C(=O)OC)c(=O)c1c(cc(cc1O)C)o2,-13.5,,,,D254,
D255,c1c(cc2c(c1C(=O)OC)c(=O)c1c(cc(cc1O)CO)o2)O,-14.1,,,,D255,
D256,c1c(cc(c(c1C(=O)OC)C(=O)c1c(cccc1O)O)O)C,-13.7,,,,D256,
D257,c1(cc(c2c(c1)[C@](OC2=O)(c1c(c(ccc1O)CC=C(C)C)O)C)O)C,-16.3,,,,D257,
D258,O=C1c2cc(OC)cc(O)c2[C@H](c2c(O)cc(C)cc2O)[C@H]1c1cc(OC)cc2c1c(=O)c1c(o2)cc(C)cc1O,-12.3,,,,D258,
D259,c12c(cc(cc1oc1c(c2=O)c(cc(c1)OC)[C@H]1[C@@H](c2c(C1=O)cc(cc2O)OC)c1c(cc(cc1O)C)O)C)O,-15.2,,,,D259,
D260,c1cc(c2c(c1)oc1c(c2=O)c(cc2c1[C@]1([C@@](O2)(O[C@@H](C1)OC)C)C)OC)O,-15.6,,,,D260,
D261,[C@H]1(CC(=C2[C@@]([C@H]1O)(Oc1c(C2=O)c(ccc1c1c(O)c2C(=O)C3=C(O)C[C@@H]([C@H]([C@@]3(Oc2cc1)C(=O)OC)O)C)O)C(=O)OC)O)C,-19,,,,D261,
D262,[C@@H]1(CC(=C2[C@]([C@H]1O)(Oc1c(C2=O)c(c(cc1)c1ccc2c(c1O)C(=O)C1=C(C[C@@H]([C@@H]([C@@]1(O2)C(=O)OC)O)C)O)O)C(=O)OC)O)C,-16.7,,,,D262,
D263,C1[C@@](Oc2c(C1=O)c(ccc2c1ccc(c2c1O[C@](CC2=O)(C(=O)OC)[C@@H]1[C@H](CC(=O)O1)C)O)O)([C@]1([C@H](CC(=O)O1)C)C)C(=C)OC,-18.5,,,,D263,
D264,c1c(cc2c(c1O)oc(cc2=O)c1c(c(cc(c1)O)O)O)O,-13.8,,,,D264,
D265,c12c(c(ccc1O)[C@@H]1CCC(=O)c3c1cccc3O)C(=O)[C@H]([C@@H]([C@@H]2OC)O)Cl,-15.3,,,,D265,
D266,c12c(c(ccc1O)[C@@H]1CCC(=O)c3c1cccc3O)C(=O)CC[C@@H]2OC,-15.6,,,,D266,
